"SYSTEM","RANK","FAMILY","NAME","SPECIES","AUTHORITY","FOREWING_LB","FOREWING_MED","FOREWING_UB","PRED_DRY_MASS","log_DRY_MASS","SE"
4605,"Species","Geometridae","Eupithecia phoeniceata","Eupithecia phoeniceata","(Rambur, 1834)",10,10.5,11,3.88918710768473,1.35820016604628,0.117786142571213
4607,"Species","Geometridae","Eupithecia tripunctaria","Eupithecia tripunctaria","Herrich-Schäffer, 1852",10,11,12,4.38192503559109,1.47748813367667,0.1102033245002
4610,"Species","Geometridae","Eupithecia virgaureata","Eupithecia virgaureata","Doubleday, 1861",10,10.5,11,3.88918710768473,1.35820016604628,0.117786142571213
4612,"Species","Geometridae","Eupithecia tantillaria","Eupithecia tantillaria","Boisduval, 1840",9,10,11,3.43182097903618,1.23309101797972,0.1265603994919
4614,"Species","Geometridae","Eupithecia lariciata","Eupithecia lariciata","(Freyer, 1841)",10,11,12,4.38192503559109,1.47748813367667,0.1102033245002
4616,"Species","Geometridae","Eupithecia egenaria","Eupithecia egenaria","Herrich-Schäffer, 1848",11,12,13,5.47726133426688,1.70060521951937,0.0986798258354383
4618,"Species","Geometridae","Eupithecia pimpinellata","Eupithecia pimpinellata","(Hübner, [1813])",11,11.5,12,4.91097564155,1.59147262706721,0.103829145927489
4620,"Species","Geometridae","Eupithecia simpliciata","Eupithecia simpliciata","(Haworth, 1809)",11,12,13,5.47726133426688,1.70060521951937,0.0986798258354383
4622,"Species","Geometridae","Eupithecia sinuosaria","Eupithecia sinuosaria","(Eversmann, 1848)",10,11,12,4.38192503559109,1.47748813367667,0.1102033245002
4624,"Species","Geometridae","Eupithecia nanata","Eupithecia nanata","(Hübner, [1813])",9,10.5,12,3.88918710768473,1.35820016604628,0.117786142571213
4626,"Species","Geometridae","Eupithecia innotata","Eupithecia innotata","(Hufnagel, 1767)",10,11,12,4.38192503559109,1.47748813367667,0.1102033245002
4630,"Species","Geometridae","Eupithecia irriguata","Eupithecia irriguata","(Hübner, [1813])",9,10,11,3.43182097903618,1.23309101797972,0.1265603994919
4632,"Species","Geometridae","Eupithecia indigata","Eupithecia indigata","(Hübner, [1813])",8,9,10,2.61934042743124,0.962922540824597,0.147657259753383
4634,"Species","Geometridae","Eupithecia distinctaria","Eupithecia distinctaria","Herrich-Schäffer, 1848",8,9,10,2.61934042743124,0.962922540824597,0.147657259753383
4638,"Species","Geometridae","Eupithecia centaureata","Eupithecia centaureata","([Denis & Schiffermüller], 1775)",10,11,12,4.38192503559109,1.47748813367667,0.1102033245002
4641,"Species","Geometridae","Eupithecia insigniata","Eupithecia insigniata","(Hübner, 1790)",10,11,12,4.38192503559109,1.47748813367667,0.1102033245002
4644,"Species","Geometridae","Eupithecia trisignaria","Eupithecia trisignaria","Herrich-Schäffer, 1848",10,10.5,11,3.88918710768473,1.35820016604628,0.117786142571213
4646,"Subspecies","Geometridae","Eupithecia intricata intricata","Eupithecia intricata","(Zetterstedt, 1839)",12,12.5,13,6.08168719611755,1.80528215684369,0.0947609039546352
4651,"Subspecies","Geometridae","Eupithecia intricata hibernica","Eupithecia intricata","Mere, 1964",12,12.5,13,6.08168719611755,1.80528215684369,0.0947609039546352
4653,"Subspecies","Geometridae","Eupithecia satyrata satyrata","Eupithecia satyrata","(Hübner, [1813])",9,11,13,4.38192503559109,1.47748813367667,0.1102033245002
4656,"Subspecies","Geometridae","Eupithecia satyrata curzoni","Eupithecia satyrata","Gregson, 1884",9,11,13,4.38192503559109,1.47748813367667,0.1102033245002
4657,"Subspecies","Geometridae","Eupithecia extensaria extensaria","Eupithecia extensaria","(Freyer, 1844)",11,12,13,5.47726133426688,1.70060521951937,0.0986798258354383
4658,"Subspecies","Geometridae","Eupithecia extensaria occidua","Eupithecia extensaria","Prout, 1914",11,12,13,5.47726133426688,1.70060521951937,0.0986798258354383
4660,"Species","Geometridae","Eupithecia absinthiata","Eupithecia absinthiata","(Clerck, 1759)",11,12,13,5.47726133426688,1.70060521951937,0.0986798258354383
4667,"Species","Geometridae","Eupithecia expallidata","Eupithecia expallidata","Doubleday, 1856",12,12.5,13,6.08168719611755,1.80528215684369,0.0947609039546352
4669,"Species","Geometridae","Eupithecia valerianata","Eupithecia valerianata","(Hübner, [1813])",8,9,10,2.61934042743124,0.962922540824597,0.147657259753383
4671,"Species","Geometridae","Eupithecia assimilata","Eupithecia assimilata","Doubleday, 1856",9,10.5,12,3.88918710768473,1.35820016604628,0.117786142571213
4673,"Species","Geometridae","Eupithecia vulgata","Eupithecia vulgata","(Haworth, 1809)",10,11,12,4.38192503559109,1.47748813367667,0.1102033245002
4677,"Species","Geometridae","Eupithecia exiguata","Eupithecia exiguata","(Hübner, [1813])",11,11.5,12,4.91097564155,1.59147262706721,0.103829145927489
4680,"Subspecies","Geometridae","Eupithecia denotata denotata","Eupithecia denotata","(Hübner, [1813])",11,12,13,5.47726133426688,1.70060521951937,0.0986798258354383
4684,"Species","Geometridae","Eupithecia millefoliata","Eupithecia millefoliata","Rössler, 1866",12,12.5,13,6.08168719611755,1.80528215684369,0.0947609039546352
4686,"Species","Geometridae","Eupithecia icterata","Eupithecia icterata","(Villers, 1789)",11,12,13,5.47726133426688,1.70060521951937,0.0986798258354383
4690,"Species","Geometridae","Eupithecia succenturiata","Eupithecia succenturiata","(Linnaeus, 1758)",12,12.5,13,6.08168719611755,1.80528215684369,0.0947609039546352
4692,"Species","Geometridae","Eupithecia subumbrata","Eupithecia subumbrata","([Denis & Schiffermüller], 1775)",10,11,12,4.38192503559109,1.47748813367667,0.1102033245002
4695,"Species","Geometridae","Eupithecia subfuscata","Eupithecia subfuscata","(Haworth, 1809)",10,11,12,4.38192503559109,1.47748813367667,0.1102033245002
4700,"Species","Geometridae","Lobophora halterata","Lobophora halterata","(Hufnagel, 1767)",12,13.5,15,7.40849919663386,2.00262788122821,0.0905276365771083
4704,"Species","Geometridae","Pterapherapteryx sexalata","Pterapherapteryx sexalata","(Retzius, 1783)",9,10.5,12,3.88918710768473,1.35820016604628,0.117786142571213
